Date,Tencent,CKLife,Waison,Cowell,quantity,asset,trade_value,portfolio_value
2018-10-23,277.8,0.41,3.76,0.96,,,,71830.51
2018-10-24,275.8,0.41,3.81,0.92,,,,70127.91
2018-10-25,269.0,0.405,3.8,0.88,,,,67473.895
2018-10-26,260.0,0.4,3.65,0.89,,,,66079.88
2018-10-29,260.0,0.405,3.8,0.88,,,,66033.895
2018-10-30,252.2,0.395,3.7,0.85,,,,63355.865000000005
2018-10-31,267.0,0.395,3.85,0.9,,,,67770.865
2018-11-01,277.8,0.4,3.85,0.94,,,,71049.87999999999
2018-11-02,303.6,0.405,4.0,0.95,,,,75860.69499999999
2018-11-05,292.4,0.4,4.06,0.94,,,,73700.87999999999
2018-11-06,292.0,0.395,4.08,0.95,,,,73937.865
2018-11-07,293.4,0.4,4.15,0.96,,,,74724.68000000001
2018-11-08,293.6,0.4,4.12,1.01,,,,76533.68000000001
2018-11-09,279.2,0.405,4.06,1.0,,,,73868.69499999999
2018-11-12,270.6,0.4,4.13,1.03,,,,73597.48
2018-11-13,274.4,0.395,4.1,1.0,,,,72973.865
2018-11-14,272.2,0.39,4.13,1.0,,,,72573.45
2018-11-15,288.0,0.395,4.2,1.0,,,,75299.865
2018-11-16,290.4,0.405,4.25,0.99,,,,75581.295
2018-11-19,291.2,0.4,4.25,0.99,,,,75615.87999999999
2018-11-20,281.6,0.395,4.21,0.96,,,,72833.265
2018-11-21,289.6,0.39,4.2,0.98,,,,74733.65000000001
2018-11-22,295.0,0.385,4.2,0.97,,,,75139.835
2018-11-23,291.2,0.385,4.24,0.96,,,,74227.43500000001
2018-11-26,298.0,0.38,4.18,0.99,,,,76225.22
2018-11-27,303.8,0.375,4.24,0.97,,,,76421.00499999999
2018-11-28,314.8,0.36,4.37,0.97,,,,78095.76
2018-11-29,312.0,0.375,4.4,0.98,,,,78337.405
2018-11-30,312.0,0.37,4.13,0.95,,,,76745.79
2018-12-03,324.8,0.375,4.17,0.99,,,,80404.80500000001
2018-12-04,328.4,0.385,4.3,1.09,,,,85006.63500000001
2018-12-05,321.0,0.39,4.18,1.1,,,,84100.45
2018-12-06,304.2,0.38,4.15,1.05,,,,79358.62000000001
2018-12-07,310.6,0.38,4.06,1.01,,,,78790.02
2018-12-10,308.0,0.38,3.94,1.03,,,,78922.82
2018-12-11,311.2,0.38,3.87,1.02,,,,78965.42
2018-12-12,316.8,0.38,3.86,1.04,,,,80575.22
2018-12-13,318.6,0.385,3.82,1.02,,,,80167.835
2018-12-14,308.8,0.38,3.78,0.99,16844.0,Cowell,16675.56,77353.22
2018-12-17,308.8,0.385,3.9,0.97,,,,76560.955
2018-12-18,302.8,0.375,3.92,0.96,,,,74911.285
2018-12-19,303.0,0.375,3.86,0.96,,,,74853.285
2018-12-20,301.6,0.375,3.86,0.94,,,,73563.605
2018-12-21,315.2,0.37,3.86,0.92,,,,74580.51
2018-12-24,310.6,0.37,3.82,0.92,,,,73784.51
2018-12-27,309.6,0.355,3.75,0.9,,,,72173.585
2018-12-28,310.0,0.36,3.7,0.92,,,,73321.68000000001
2018-12-31,314.0,0.365,3.81,0.93,,,,74752.93500000001
2019-01-02,306.6,0.355,3.75,0.91,,,,72226.425
2019-01-03,305.0,0.375,3.7,0.88,,,,70670.565
2019-01-04,310.6,0.38,3.8,0.85,,,,70211.46
2019-01-07,317.6,0.385,3.85,0.89,-43627.0,Cowell,-38828.03,73631.235
2019-01-08,315.6,0.395,3.78,0.91,,,,73586.205
2019-01-09,327.6,0.395,3.83,0.95,,,,75967.485
2019-01-10,329.0,0.395,3.83,0.93,,,,75998.345
2019-01-11,331.2,0.4,3.86,0.92,,,,76392.19
2019-01-14,321.8,0.415,3.78,0.92,,,,75048.435
2019-01-15,330.0,0.435,3.8,0.92,,,,76764.095
2019-01-16,331.0,0.43,3.9,0.94,,,,77173.82
2019-01-17,331.2,0.415,3.9,0.92,,,,76732.43500000001
2019-01-18,337.0,0.415,3.9,0.92,,,,77660.43500000001
2019-01-21,340.0,0.42,3.86,0.93,,,,78270.42
2019-01-22,335.8,0.41,3.92,0.92,,,,77405.02
2019-01-23,333.2,0.41,4.0,0.9,,,,76915.88
2019-01-24,330.2,0.42,4.1,0.93,,,,77062.42
2019-01-25,343.8,0.425,4.09,1.01,,,,80089.395
2019-01-28,341.6,0.425,4.15,1.0,,,,79730.82500000001
2019-01-29,342.4,0.415,4.15,1.12,,,,80830.835
2019-01-30,344.2,0.42,4.09,1.07,,,,80639.40000000001
2019-01-31,346.0,0.42,4.11,1.09,,,,81150.54000000001
2019-02-01,348.0,0.415,4.06,1.04,,,,80819.275
2019-02-04,347.6,0.42,4.13,1.05,,,,81050.26000000001
2019-02-08,345.6,0.425,4.19,1.09,,,,81299.95500000002
2019-02-11,352.0,0.42,4.16,1.2,,,,83247.81
2019-02-12,351.4,0.42,4.1,1.18,,,,82868.67
2019-02-13,347.8,0.43,4.2,1.4,,,,84754.04000000001
2019-02-14,341.8,0.43,4.17,1.36,,,,83362.76000000001
2019-02-15,333.8,0.42,4.3,1.31,,,,81608.08
2019-02-18,339.8,0.42,4.12,1.35,,,,82684.36
2019-02-19,336.8,0.415,4.05,1.31,,,,81619.66500000001
2019-02-20,341.0,0.425,4.05,1.33,,,,82671.635
2019-02-21,343.2,0.42,4.05,1.36,,,,83219.93000000001
2019-02-22,344.0,0.425,4.05,1.57,,,,85469.315
2019-02-25,343.8,0.435,3.99,1.6,,,,85823.855
2019-02-26,343.0,0.43,3.96,1.51,,,,84688.31000000001
2019-02-27,340.2,0.43,3.9,1.43,,,,83377.75
2019-02-28,335.8,0.46,3.83,1.43,,,,83129.23999999999
2019-03-01,336.2,0.46,3.85,1.48,,,,83706.09
2019-03-04,346.8,0.49,3.93,1.5,,,,86275.72
2019-03-05,361.4,0.48,3.98,1.52,,,,88693.03
2019-03-06,362.0,0.475,3.96,1.54,,,,88858.755
2019-03-07,355.2,0.5,4.0,1.48,,,,87718.41
2019-03-08,347.0,0.485,3.98,1.41,,,,85420.175
2019-03-11,354.8,0.49,3.87,1.44,,,,86886.3
2019-03-12,361.0,0.495,4.04,1.5,,,,88806.135
2019-03-13,358.4,0.49,4.18,1.48,,,,88313.58
2019-03-14,357.6,0.485,4.22,1.43,,,,87669.315
2019-03-15,359.0,0.48,4.31,1.43,,,,87934.9
2019-03-18,368.8,0.48,4.32,1.46,,,,89807.61
2019-03-19,370.0,0.47,4.33,1.42,,,,89441.5
2019-03-20,370.0,0.45,4.3,1.41,,,,88926.27
2019-03-21,363.0,0.44,4.18,1.39,,,,87246.3
2019-03-22,365.0,0.445,4.26,1.41,,,,87972.855
2019-03-25,353.8,0.445,4.18,1.44,,,,86350.565
2019-03-26,351.4,0.445,4.2,1.43,,,,85899.995
2019-03-27,354.6,0.445,4.14,1.44,,,,86418.565
2019-03-28,354.0,0.45,4.19,1.4,,,,86104.70000000001
2019-03-29,361.0,0.445,4.11,1.43,,,,87300.995
2019-04-01,365.0,0.45,4.03,1.46,,,,88204.12000000001
2019-04-02,366.0,0.455,4.03,1.69,,,,90678.645
2019-04-03,378.0,0.445,4.18,1.69,,,,92636.815
2019-04-04,376.0,0.44,4.11,1.66,,,,91828.69
2019-04-08,380.2,0.445,4.19,1.71,,,,93196.955
2019-04-09,383.6,0.45,4.15,1.78,,,,94450.36
2019-04-10,388.8,0.45,4.13,1.79,,,,95348.93000000001
2019-04-11,391.4,0.455,4.08,1.73,,,,95203.925
2019-04-12,393.8,0.45,4.06,1.74,,,,95561.08
2019-04-15,388.2,0.45,4.03,1.71,,,,94330.37000000001
2019-04-16,393.6,0.465,4.04,1.73,,,,95682.755
2019-04-17,395.6,0.47,4.1,1.79,,,,96765.59
2019-04-18,391.6,0.47,4.05,1.84,,,,96533.44
2019-04-23,393.0,0.465,4.05,1.84,,,,96664.02500000001
2019-04-24,393.0,0.455,4.05,1.85,,,,96573.765
2019-04-25,382.8,0.45,4.0,1.75,,,,93807.65000000001
2019-04-26,384.0,0.45,3.97,1.76,,,,94051.22000000002
2019-04-29,390.6,0.455,3.97,1.74,,,,95007.49500000001
2019-04-30,388.0,0.455,4.0,1.77,,,,94926.205
2019-05-02,391.4,0.45,3.91,1.88,,,,96304.06000000001
2019-05-03,387.8,0.45,3.89,1.85,,,,95408.35
2019-05-06,375.6,0.435,3.79,1.67,,,,91287.845
2019-05-07,380.8,0.445,3.85,1.71,,,,92782.955
