,tencent,cklife,waison,cowell,quantity,asset,trade_value,portfolio_value
2019-04-30,388.0,0.455,4.0,1.77,,,,106863.92000000001
2019-05-02,391.4,0.45,3.91,1.88,,,,108988.81
2019-05-03,387.8,0.45,3.89,1.85,,,,108126.76000000001
2019-05-06,375.6,0.435,3.79,1.67,,,,103687.85
2019-05-07,380.8,0.445,3.85,1.71,,,,104974.05000000002
2019-05-08,384.8,0.435,3.84,1.66,,,,104363.13
2019-05-09,375.6,0.425,3.77,1.58,,,,102011.88
2019-05-10,382.0,0.43,3.88,1.65,,,,103937.19
2019-05-14,370.6,0.415,3.76,1.61,,,,102018.32
2019-05-15,374.0,0.425,3.82,1.67,,,,103498.45999999999
2019-05-16,365.6,0.43,3.8,1.7,,,,103307.88
2019-05-17,355.8,0.42,3.75,1.66,,,,101625.25
2019-05-20,342.0,0.42,3.73,1.62,,,,99689.43000000001
2019-05-21,341.2,0.415,3.62,1.45,,,,96495.22
2019-05-22,339.0,0.42,3.65,1.48,,,,96892.09
2019-05-23,326.0,0.415,3.61,1.43,,,,94796.91
2019-05-24,324.8,0.41,3.45,1.42,,,,94344.37
2019-05-27,323.8,0.415,3.36,1.38,,,,93513.21
2019-05-28,325.6,0.41,3.46,1.4,,,,94070.80000000002
2019-05-29,322.0,0.415,3.39,1.4,,,,93732.26000000001
2019-05-30,324.4,0.415,3.37,1.4,,,,93926.72
2019-05-31,326.0,0.405,3.3,1.38,,,,93582.89
2019-06-03,333.6,0.405,3.15,1.4,,,,94478.48000000001
2019-06-04,327.2,0.395,3.16,1.41,,,,94026.12
2019-06-05,331.0,0.395,3.15,1.41,,,,94352.15
2019-06-06,330.4,0.4,3.1,1.4,,,,94118.18
2019-06-10,343.0,0.4,3.04,1.47,,,,96409.95000000001
2019-06-11,344.6,0.405,3.05,1.48,,,,96772.14000000001
2019-06-12,337.4,0.395,2.99,1.42,,,,94957.6
2019-06-13,334.2,0.405,3.0,1.39,,,,94229.56
2019-06-14,330.0,0.405,3.0,1.38,,,,93683.79000000001
2019-06-17,329.0,0.41,2.94,1.36,,,,93230.08000000002
2019-06-18,334.0,0.4,2.92,1.39,,,,94108.15
2019-06-19,347.2,0.405,2.93,1.48,,,,96900.5
2019-06-20,354.0,0.41,2.96,1.48,,,,97560.85999999999
2019-06-21,354.4,0.41,2.82,1.47,,,,97302.70999999999
2019-06-24,355.8,0.41,2.83,1.41,,,,96377.26000000001
2019-06-25,349.4,0.405,2.79,1.41,,,,95743.73000000001
2019-06-26,349.0,0.42,2.78,1.4,,,,95634.54000000001
2019-06-27,352.8,0.415,2.86,1.44,,,,96703.73000000001
2019-06-28,352.6,0.435,2.86,1.4,,,,96128.85
2019-07-02,362.4,0.42,2.87,1.5,-1645.0,waison,-4721.15,98650.76999999999
2019-07-03,360.4,0.415,2.79,1.46,,,,97797.88
2019-07-04,360.0,0.415,2.81,1.44,,,,97394.18
2019-07-05,359.8,0.425,2.82,1.45,,,,97618.37
2019-07-08,351.0,0.425,2.82,1.42,,,,96315.45999999999
2019-07-09,350.8,0.425,2.89,1.4,,,,95888.95999999999
2019-07-10,356.8,0.42,2.94,1.39,,,,96163.54000000001
2019-07-11,357.2,0.42,2.95,1.4,,,,96366.82999999999
2019-07-12,355.0,0.425,2.9,1.38,,,,95898.13999999998
2019-07-15,360.8,0.43,2.89,1.4,14752.0,waison,42633.28,96805.81000000001
2019-07-16,362.6,0.435,,1.4,-275.0,cowell,-385.0,
2019-07-17,363.2,0.435,3.11,1.38,,,,99774.69999999998
2019-07-18,356.6,0.435,3.16,1.38,,,,99891.1
2019-07-19,361.8,0.43,3.21,1.39,,,,101182.47
2019-07-22,357.6,0.43,3.08,1.37,,,,98653.31000000003
2019-07-23,358.6,0.43,3.11,1.38,,,,99333.04999999999
2019-07-24,365.6,0.43,3.08,1.44,,,,100571.25000000001
2019-07-25,372.4,0.4,3.08,1.45,,,,101121.97
2019-07-26,370.2,0.4,2.93,1.42,,,,98316.51000000001
2019-07-29,372.2,0.395,2.89,1.4,,,,97551.06000000001
2019-07-30,373.2,0.395,2.95,1.39,,,,98302.28
2019-07-31,368.2,0.395,2.86,1.37,,,,96260.48000000001
2019-08-01,370.0,0.395,2.87,1.37,,,,96558.32
2019-08-02,355.8,0.385,2.81,1.3,,,,93184.44
2019-08-05,340.6,0.385,2.81,1.21,,,,90286.06
2019-08-06,337.2,0.37,2.84,1.18,,,,89774.37
2019-08-07,338.6,0.37,2.75,1.21,,,,89162.87000000002
2019-08-08,342.4,0.375,2.84,1.27,,,,91829.6
2019-08-09,338.4,0.38,2.73,1.26,,,,89807.19
2019-08-12,340.0,0.37,2.67,1.28,,,,89384.49000000002
2019-08-13,334.0,0.37,2.6,1.22,,,,86839.89000000001
2019-08-14,340.0,0.36,2.52,1.27,,,,87045.77
2019-08-15,330.4,0.365,2.48,1.26,,,,85506.64
2019-08-16,326.4,0.365,2.54,1.27,,,,86164.7
2019-08-19,336.8,0.37,2.7,1.32,,,,90214.89000000001
2019-08-20,333.4,0.37,2.64,1.33,,,,89252.47000000002
2019-08-21,332.6,0.375,2.67,1.3,,,,89116.98000000001
2019-08-22,331.0,0.385,2.69,1.26,,,,88635.08
2019-08-23,334.2,0.39,2.66,1.24,,,,88188.37000000001
2019-08-26,326.0,0.37,2.62,1.2,,,,86067.93
2019-08-27,326.2,0.375,2.57,1.21,,,,85598.6
2019-08-28,319.0,0.37,2.67,1.18,,,,85802.29000000001
2019-08-29,320.2,0.375,2.78,1.16,,,,87131.74
2019-08-30,324.8,0.37,2.81,1.14,,,,87571.17000000001
2019-09-02,331.2,0.35,2.84,1.13,,,,88231.87
2019-09-03,329.2,0.35,2.88,1.14,,,,88787.05000000002
2019-09-04,341.2,0.36,3.0,1.19,,,,92457.13
2019-09-05,341.4,0.355,3.13,1.2,,,,94424.01999999999
2019-09-06,343.4,0.36,3.17,1.24,,,,95888.31
2019-09-09,342.4,0.355,3.11,1.23,,,,94753.4
2019-09-10,340.2,0.355,3.08,1.2,,,,93621.22
2019-09-11,346.0,0.355,3.08,1.24,,,,94825.3
2019-09-12,349.4,0.365,3.05,1.26,,,,95126.72
2019-09-13,349.6,0.365,3.14,1.27,,,,96572.70000000001
2019-09-16,346.6,0.365,3.03,1.23,,,,94081.18000000002
2019-09-17,343.6,0.36,2.93,1.22,,,,92212.51000000001
2019-09-18,343.0,0.36,3.0,1.33,,,,95043.41
2019-09-19,338.4,0.355,2.98,1.34,,,,94496.3
2019-09-20,337.6,0.36,2.96,1.31,,,,93663.61000000002
